№ п/п&UUID&Описание&Ответ&Качество&Пользователь
1&eeb3c713b2424981bfe7802cc84663e5&	Пиздец АК Якутия лажают &[['удивление']]&56.9&admin
188&8cfbb091edf44946994e7a17a6c3e6ef&	К° Ретвитнул ( а ) Корефан .&['Ни одного']&100.0&TarasenkoAA
189&385d41f61ac1452aa230cfa4378c7388&	как так то ?     ведь маркс накажет️&[['удивление']]&100.0&TarasenkoAA
190&82adec584d17426b928f2d502cb98447&	А НИКАК ))  )  ) &[['спокойствие']]&100.0&TarasenkoAA
191&81433e7be9ca4ad681b7e86ecf9c2510&	Доброе утро ️у меня еще два изо , так домой хочу &[['грусть']]&100.0&TarasenkoAA
192&fac634b3b7fa4631af8b4fc7de78c8ee&	Я не выдержала !  ;&[['грусть']]&0.0&TarasenkoAA
193&17017d6e726c4a9eb015f3dbd79d5c5c&	Это какойто  литр слез &[['грусть']]&0.0&TarasenkoAA
194&1d7c69177c3e4c3dacd67ba46af7d73d&	На всю голову&['Ни одного']&0.0&TarasenkoAA
195&540aeccba70f43c89b651df05a74eb55&	ты боишься выглядит в чьихто глазах сукой . .&[['спокойствие']]&100.0&TarasenkoAA
196&d994d5d286524e5887dd6535c1acb2f6&	Ирчээд байгаа шд &['Ни одного']&100.0&TarasenkoAA
197&d43a06e13e4743a58b3aa8cd7043b524&	  Немного нашей истории  Первая встреча с лозой . . .&[['спокойствие']]&100.0&TarasenkoAA
198&6a2d6804346346448afb741c04bf6884&	цахимд өчнөөн өсвөр насныхан байгааг бодолцож бичих хэрэгтэй Бид энэ Эрхэмд итгэж Төрд гаргасан гэхээрээ л  pictwittercomXfWZuGNLV&['Ни одного']&100.0&TarasenkoAA
199&b24c99207c924aa3bdd25c27d54c8880&	Ммм даа . pictwittercomHoVlVDVq&[['спокойствие']]&0.0&TarasenkoAA
200&2e0bbf425d47481790007b32dde3373c&	выздоравливай &[['спокойствие']]&100.0&TarasenkoAA
201&97023c4824cb4ee9ba5bfff96cafe674&	Да меня кладут в больничку&[['грусть']]&100.0&TarasenkoAA
202&c2efa1e1b4734ba8a5dc9d07fd4d5e79&	фуу опять дебби все портит pictwittercomcSkWacIJX&[['грусть']]&0.0&TarasenkoAA
203&9fa5be48bd1c4f2d91e48ef1d658b95d&	Целитель России . . .  Какая медицина , такие у нее и герои .&[['грусть']]&0.0&TarasenkoAA
204&83128d0d441849d7b15bc6979b67e2d2&	  привет поставьте пожалуйста &[['спокойствие']]&100.0&TarasenkoAA
205&18744a7f23d746cc99fa9dbb03a2002c&	айыы бля куомэй буттэ , санны трамбаланна оссо ол быыьыгар температура &['Ни одного']&100.0&TarasenkoAA
206&0f968fbc67c94af68d98783a5b79527c&	Почему я не догадалась оформить пенсию на кааарту Обожаю стоять на почте в очереди&[['грусть']]&0.0&TarasenkoAA
207&49123c2b14384476a89a0db76c6b8037&	Миссия нашей компании  чистая вода в каждый дом .&[['спокойствие']]&100.0&TarasenkoAA
208&85aed79105e94f26a68f1ecfdda439f2&	Цохож хэлмээр санагдсан бгааз&['Ни одного']&100.0&TarasenkoAA
209&96f681d2978d49f8aec4ab60cd9c00e8&	Только посмотрите на нее , мурлычит так , будто не пыталась меня убить  минут назад &[['удивление']]&0.0&TarasenkoAA
210&0f1a2c8eacd54095aff7818fffc65878&	а может это ты мышь&[['гнев']]&0.0&TarasenkoAA
211&1733e14239a541ea976c3aa46d0e1a3e&	Я еду тудагде днем  , а ночью - лишь бы без снега , я ж умру если и там это &[['грусть']]&100.0&TarasenkoAA
212&35c65159e2594d69ad87811f72cee8f0&	Второй мой акаут заблокали Весело&[['грусть']]&0.0&TarasenkoAA
213&8a29a8383184486b86cd08a8cc31d897&	 а мы с ними играли в м ) ) как же это было давно&[['грусть']]&100.0&TarasenkoAA
214&0b6dda450669408ea0c7304712150b8b&	Заболел ангиной &[['грусть']]&100.0&TarasenkoAA
215&76669cf8a9cb401680acd4753d88f026&	Оки :  Ох даааа , грустно , что больше не видемся на парах️&[['грусть']]&100.0&TarasenkoAA
216&6d669b2007384e18b36f03cf2fcc9b34&	Просто ктото слишком много ест !  . # жирныйкот # толстыйкот # кот cat # котэ # котейка # котик &[['спокойствие']]&0.0&TarasenkoAA
217&1d2e251936734cdb8a27669232330ed4&	не могу смотреть ни алкоголь , ни на еду&[['грусть', 'отвращение']]&70.71&TarasenkoAA
218&71bde972d3da42dda92252919721ec9b&	Из соседнего купе так пахнет едой , что хочется уже и курочку и балычоки сосисочку с огурчиком , которые предлагают х летнему пацану &[['грусть']]&0.0&TarasenkoAA
219&7c81a6bf0ec54d08aabccb6c55ad7259&	Блять , знаете я так люблю сука свою жизнь , прям что не день , то сказка&[['грусть']]&0.0&TarasenkoAA
220&a631b44bf20042b1ba3bef2693774a7b&	! Где зверинец ? ! Мерзкий ты старикашка ! &[['гнев']]&100.0&TarasenkoAA
221&8e95708112b54db99498066563c45ffe&	Думаю  млн подписчиков не после Дудя &[['спокойствие']]&100.0&TarasenkoAA
222&24f19d8edb514208bb73b2a9a9a310cf&	Techieroconosrr      &['Ни одного']&100.0&TarasenkoAA
223&5f87a40dc9474cb18b6949ce2523194d&	Где мне лечь и помирать ? &[['грусть']]&100.0&TarasenkoAA
224&40a54195a87c4c269d9e3932e7bf6850&	СРОЧНО !&['Ни одного']&100.0&TarasenkoAA
225&d17785478a0a4a7f82bdb27d6897dacc&	сука бля нет &[['гнев']]&100.0&TarasenkoAA
226&4e461b2cdd184f25b71df3d988b63431&	Наворачиваю круги по комнате с банкой кофе в руках , воображая , что это маракас&[['спокойствие']]&0.0&TarasenkoAA
227&fd62baa188084afaac0a2fbee46d725a&	Так бля , Кирилл мой и бить за него ебальники иду тоже я &[['гнев']]&100.0&TarasenkoAA
228&a326c3d52c644c52845fcdd9ff384602&	Ох , Юнги и галстуки . . &['Ни одного']&100.0&TarasenkoAA
229&8b5c99101b3a41aeb87997b480aa8dc0&	Иии вспоминаешь ты про рідну Украину  с населением в   с лишним миллионов человек . . .&[['спокойствие']]&0.0&TarasenkoAA
230&ce0051a61f814c1ea4921b3551e25c93&	Я немного пришел в себя если кому то до меня есть дело  Хочу замутить что нибудь прикольное , но пока не придумала&[['спокойствие']]&100.0&TarasenkoAA
231&99b887fd45af4d33bf1edde20ccdaf0e&	мне кажется просто какойто пидр сидит на моем акке , подо мной то есть хочу поменять я его помнб иакто&[['гнев']]&100.0&TarasenkoAA
232&81e3ba9bb940468ba70690c25e0c18d2&	фильм  . . . . . .  # пожалуйстаприготовьтесьpictwittercomboyRtJLZ&['Ни одного']&100.0&TarasenkoAA
233&ee868d4917e640ae8a95426efc79d515&	Ничего смешного ! ! ! &[['гнев']]&100.0&TarasenkoAA
234&6fa78c61a8ab48499397ad8e24eb4907&	Пофиг&['Ни одного']&0.0&TarasenkoAA
235&c57a251282f941caa24f9fb0ff14316f&	Да ?&['Ни одного']&0.0&TarasenkoAA
236&d628b6ab3b7449bdbb2aef6b9f7976c7&	Домашний ас сиэхпин багарабыыын сиэбэтэзим ый болан эрэр&['Ни одного']&100.0&TarasenkoAA
237&c97b65d86c844ae195d80aeeebaf6bc4&	А у тебя есть тайная любовь ? ?  нет , нет такого &[['грусть']]&0.0&TarasenkoAA
238&7efe0a688fc844dfb69cc4644133f27c&	Епааааа , ну и ЖАРА&[['удивление']]&100.0&TarasenkoAA
239&6ed6858ab72b49baaf1221f31c9fa8ec&	Я хочу к вам на праздник молока пожалуйста &[['грусть']]&0.0&TarasenkoAA
240&d920ce9ca45344d39c6e758adf04efa3&	Min  Ретвитнул ( а ) TaeTae&['Ни одного']&100.0&TarasenkoAA
241&0a17e91590734ee7915d92d130a939df&	нашей семье сегодня ПоЛгОдА️ ️ pictwittercomrkhgNDuwh&[['счастье']]&100.0&TarasenkoAA
242&16d7c63c18634ac59ec54dbf1c3b9c1e&	Просто помни обо мне *Ушла* замедленная съемка камера со спины # каквслезливойдраме &[['грусть']]&0.0&TarasenkoAA
243&a917e4e5e4b24d259f62302c5fa1babf&	Невеста путена . &['Ни одного']&100.0&TarasenkoAA
244&06f271d7ae024b049447a9980c2e3dae&	Это неравноценная замена ! ! !&[['грусть']]&0.0&TarasenkoAA
245&69f2d2c05e8748698d4066cb256c9446&	Буду ждать твоих лаек&[['спокойствие']]&100.0&TarasenkoAA
246&a4c2e1f0463a49cda5223c26abf8adaa&	Скоро  утра .&['Ни одного']&0.0&TarasenkoAA
247&8f91d67c8fa3476198b23b8d4d104d33&	сижу еле держусь чтобы не сделать предзаказ когда приду домой о нет я не ебнулась я ебанулась   &['Ни одного']&0.0&TarasenkoAA
248&906711bb83644259b5a8845fe3e518a1&	Последнее время много всего чищу в соцсетях и это пздц&[['грусть']]&0.0&TarasenkoAA
249&3ccd1ff686844ca387989e212cd22347&	Люблюююююю ~  pictwittercomVQCyuRYzt&[['счастье']]&100.0&TarasenkoAA
250&f642d7e890a64ea8afbbd91c2eb74de8&	училка еще предупредила типа ТОЛЬКО ПИШЕМ САМИ  сами это как я уже  лет так не делаю а если что я в  классе&[['спокойствие']]&100.0&TarasenkoAA
251&77ba6f9c899748f4b76a41b1c095fce1&	Котик умер ? &[['грусть']]&0.0&TarasenkoAA
252&bcdb5647009c40d3a803ef3640f378f7&	-  Вас заставили родители ?&[['удивление']]&100.0&TarasenkoAA
253&536ddac0ddb44df99bcc6b5867beef92&	Я : фэйспалмлю и вздыхаю Надо менять имя . &[['грусть']]&0.0&TarasenkoAA
254&984597a9dd164ec5a51877be1cb39e6c&	Бл Че за хрень когда аппетита на еду вообще нету , а есть надо , но тяну до последнего чтобы не есть&[['грусть']]&0.0&TarasenkoAA
255&babedc3a2c8247668fa3b47ae6b81a45&	Разнообразие туфелек на устойчивом каблуке из новой коллекции Вас точно порадует  Веди такие туфли стройнят , делают фигуру женственно и сексуальной .&[['спокойствие']]&100.0&TarasenkoAA
256&f23023a8679f4b849b7286345540043a&	ПО ТРАДИЦИИ   Каждый соревнования фото с Дедулей и Братиком ragrech Спасибо за ПОДДЕРЖКУ моим любимым и родным ️ ️️ Спасибо братан за такой&[['счастье']]&100.0&TarasenkoAA
257&23da7b8754f04e3280328d1f43e69754&	Да ты , сука , никак напасть на нас хочешь ? ! ! ! &[['гнев']]&100.0&TarasenkoAA
258&7d38952390ad4a4c817bb0554a98ae5f&	В школу к  : &['Ни одного']&0.0&TarasenkoAA
259&7d1a63add0c843c1af8a33c81f3f506b&	Ответ : сроком службы &['Ни одного']&0.0&TarasenkoAA
260&5bbee419364f4033b4b7003cbabcecbb&	Нам сегодня два годика &[['счастье']]&100.0&TarasenkoAA
261&afa36965ed924abdaace7d203aa7a03e&	Зайчик мой все будет в порядке , очень боимся за тебя , но ты сильныц &[['грусть']]&0.0&TarasenkoAA
262&ea29886cb78f4187a2c6cdad21e11803&	Как хочешь&[['спокойствие']]&100.0&TarasenkoAA
263&18b312fc94714fcfa38f0d4f9e155a56&	кадр , конечно , ничего положительного не вызывает , впрочем как и клип все протеворечиво .&[['грусть']]&0.0&TarasenkoAA
264&83c5b3d392744735ac89ce4a9647f0a3&	Отлично , давно хотела укоротить длину волос&[['спокойствие']]&100.0&TarasenkoAA
